duplicatenote,source,date_added,date_updated,property_name,site_name,unit_type,property_type,property__total_sites,quantity_of_units,unit_capacity,year_site_opened,operating_season__months_,__of_locations,address,city,state,zip_code,country,occupancy_rate_2024,avg__retail_daily_rate_2024,high_rate_2024,low_rate_2024,retail_daily_rate__fees__2024,revpar_2024,occupancy_rate_2025,retail_daily_rate_ytd,retail_daily_rate__fees__ytd,high_rate_2025,low_rate_2025,revpar_2025,high_month_2025,high_avg__occupancy_2025,low_month_2025,low_avg__occupancy_2025,operating_season__excel_format_,avg__rate__next_12_months_,high_rate__next_12_months_,low_rate__next_12_months_,winter_weekday,winter_weekend,spring_weekday,spring_weekend,summer_weekday,summer_weekend,fall_weekday,fall_weekend,url,description,minimum_nights,getting_there,lon,lat,toilet,hot_tub___sauna,pool,pets,water,shower,trash,cooking_equipment,picnic_table,wifi,laundry,campfires,playground,rv___vehicle_length,rv___parking,rv___accommodates_slideout,rv___surface_type,rv___surface_level,rv___vehicles__fifth_wheels,rv___vehicles__class_a_rvs,rv___vehicles__class_b_rvs,rv___vehicles__class_c_rvs,rv___vehicles__toy_hauler,fishing,surfing,horseback_riding,paddling,climbing,off_roading__ohv_,boating,swimming,wind_sports,snow_sports,whitewater_paddling,fall_fun,hiking,wildlife_watching,biking,ranch,beach,coastal,suburban,forest,field,wetlands,hot_spring,desert,canyon,waterfall,swimming_hole,lake,cave,redwoods,farm,river__stream__or_creek,mountainous,sage___p__amenity__food_on_site,waterfront,restaurant,dog_park,clubhouse,canoeing___kayaking,alcohol_available,golf_cart_rental,private_bathroom,waterpark,kitchen,patio,electricity,general_store,cable,charcoal_grill,sewer_hook_up,electrical_hook_up,generators_allowed,water_hookup,phone_number,google_website_uri,google_dine_in,google_takeout,google_delivery,google_serves_breakfast,google_serves_lunch,google_serves_dinner,google_serves_brunch,google_outdoor_seating,google_live_music,google_menu_uri,google_place_types,google_primary_type,google_primary_type_display_name,google_photos,google_icon_uri,google_icon_background_color,google_reservable,google_rating,google_user_rating_total,google_business_status,google_opening_hours,google_current_opening_hours,google_parking_options,google_price_level,google_payment_options,google_wheelchair_accessible_parking,google_wheelchair_accessible_entrance,google_wheelchair_accessible_restroom,google_wheelchair_accessible_seating,google_allows_dogs,slug,quality_score,google_place_id,is_glamping_property
,OpenAI Research: best glamping resorts Germany 2024,2026-01-28,,Glamping Resort Biosphäre Bliesgau,,safari tents,Glamping Resort,,,2-4 guests,,Year-round,,"Zum Bergwald 6, 66271 Kleinblittersdorf",Kleinblittersdorf,Saarland,66271,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.glamping-resort.de,"Located in the UNESCO Biosphere Reserve Bliesgau, offering luxurious safari tents with beautiful views.",,"The resort is accessible by car, with the nearest major city being Saarbrücken. The closest train station is in Kleinblittersdorf, and the nearest airport is Saarbrücken Airport.",7.0925,49.1494,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+49 6805 6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Germany 2024,2026-01-28,,Baumhaushotel Seemühle,,treehouses,Treehouse Hotel,5,5,2-4 guests,2014,Year-round,,"Seemühle 1, 97782 Gräfendorf",Gräfendorf,Bavaria,97782,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.baumhaushotel-seemuehle.de,Experience unique treehouse accommodations in the scenic Franconian countryside.,2 nights,"The property is accessible by car and is located near the town of Gräfendorf. The nearest major train station is in Würzburg, approximately 50 kilometers away. Frankfurt Airport is the closest major airport, about 120 kilometers from the site.",9.7001,50.1185,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,No,No,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,+49 9357 6068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Germany 2024,2026-01-28,,Camping Resort Allweglehen,,safari tents,Luxury Campground,,,,,Year-round,,"Allweggasse 4, 83471 Berchtesgaden",Berchtesgaden,Bavaria,83471,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.allweglehen.de,"Nestled in the Alps, this resort offers luxury safari tents with stunning mountain views.",,"The resort is accessible by car and is located near Berchtesgaden. The nearest airport is Salzburg Airport, approximately 30 km away. The Berchtesgaden train station is the closest rail connection.",13.0101,47.6266,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,,,Yes,,,Yes,,,,,,Yes,,Yes,Yes,Yes,Yes,,,,,,,+49 8652 2326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Germany 2024,2026-01-28,,Glamping Resort Zugspitze,,"tents, cabins",Glamping Resort,,,2-4 guests,,Year-round,,"Waxensteinstraße 6, 82491 Grainau",Grainau,Bavaria,82491,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.camping-zugspitze.de/glamping,"Offers a premium glamping experience near Germany's highest peak, the Zugspitze.",2 nights,"The resort is accessible by car and is located near the Garmisch-Partenkirchen train station. The nearest airport is Munich Airport, approximately 120 km away.",11.0215,47.4776,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,No,No,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,+49 8821 94340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Germany 2024,2026-01-28,,Baumhaushotel Oberbayern,,treehouses,Treehouse Hotel,,5,2-4 guests,2016,Year-round,,"Hauptstraße 1, 85305 Jetzendorf",Jetzendorf,Bavaria,85305,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.baumhaushotel-oberbayern.de,"A unique treehouse experience in Upper Bavaria, perfect for nature lovers.",2 nights,"The property is accessible by car and is located approximately 50 kilometers north of Munich. The nearest major airport is Munich Airport (MUC), and the closest train station is in Petershausen, about 10 kilometers away.",11.4243,48.4547,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+49 8137 999800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: luxury glamping Deutschland,2026-01-28,,Rügen Glamping,,safari tents,Glamping Resort,,,2-4 guests,,April-October,,"Arkonastraße 37, 18551 Lohme",Lohme,Mecklenburg-Vorpommern,18551,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ruegen-glamping.de,"Situated on the beautiful island of Rügen, this glamping site offers luxurious safari tents and a serene coastal experience.",,"The nearest major airport is Rostock-Laage Airport. Visitors can also reach the site via train to the Bergen auf Rügen station, followed by a local bus or taxi to Lohme.",13.5833,54.5833,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,,,,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,Yes,,Yes,,,,Yes,,,Yes,,Yes,,Yes,,,,,,,,+49 38302 8860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: luxury glamping Deutschland,2026-01-28,,Camping Resort Zugspitze,,"cabins, safari tents",Luxury Campground,,,2-4 guests,,Year-round,,"Griesener Str. 2, 82491 Grainau",Grainau,Bavaria,82491,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.camping-zugspitze.de,"Located at the foot of Germany's highest mountain, this resort offers luxury camping with stunning alpine views and modern amenities.",,"The resort is accessible by car and is located near the Garmisch-Partenkirchen train station. The nearest major airport is Munich Airport, approximately 120 km away.",11.0269,47.4761,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 meters,Yes,Yes,Gravel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,+49 8821 943910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Bavaria Germany,2026-01-28,,Bavarian Forest Glamping,,"safari tents, treehouses",Glamping Resort,10,10,2-4 guests,2020,April-October,,"Am Schwaimberg 1, 94481 Grafenau",Grafenau,Bavaria,94481,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://bavarianforestglamping.de,"Nestled in the heart of the Bavarian Forest, this glamping site offers a luxurious escape into nature with stunning views and modern amenities.",2 nights,"The property is accessible by car, and the nearest major airport is Munich Airport, approximately 150 km away. The closest train station is in Grafenau, providing convenient connections to the region.",13.3833,48.85,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,No,No,,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+49 8552 9600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Bavaria Germany,2026-01-28,,Bavaria Glamping Resort,,"luxury tents, cabins",Luxury Campground,,,2-4 guests,,Year-round,,"Chiemseestraße 3, 83093 Bad Endorf",Bad Endorf,Bavaria,83093,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://bavariaglampingresort.de,Experience the charm of Bavaria with luxury tents and eco-friendly accommodations near the famous Chiemsee lake.,,,12.3058,47.9116,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+49 8053 123456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Bavaria Germany,2026-01-28,,Allgäu Glamping,,"yurts, treehouses",Boutique Camping,,,,,April-October,,"Seestraße 15, 87509 Immenstadt",Immenstadt,Bavaria,87509,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://allgaeuglamping.de,"Located in the picturesque Allgäu region, this glamping site offers unique accommodations like yurts and treehouses with breathtaking mountain views.",,"The property is accessible by car and is located near the Immenstadt train station. The nearest major airport is Memmingen Airport, approximately 60 kilometers away.",10.2116,47.5586,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,No,No,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+49 8323 987654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Black Forest Germany,2026-01-28,,Glamping Schwarzwald,,safari tents,Glamping Resort,,,,,,,"Am Stadtwald 4, 77889 Seebach",Seebach,Baden-Württemberg,77889,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.glamping-schwarzwald.de,"Nestled in the Black Forest, this glamping site offers luxurious safari tents with modern amenities and stunning views.",,,8.1425,48.5856,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,No,No,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+49 7842 123456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Black Forest Germany,2026-01-28,,Baumhaushotel Schwarzwald,,treehouses,Treehouse Hotel,,,,,Year-round,,"Dorfstraße 1, 78655 Dunningen",Dunningen,Baden-Württemberg,78655,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.baumhaushotel-schwarzwald.de,Experience unique treehouse accommodations in the heart of the Black Forest with panoramic views and luxurious facilities.,,,8.5476,48.2188,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,,No,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,+49 741 123456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Black Forest Germany,2026-01-28,,Tented Village Glamping Schwarzwald,,safari tents,Luxury Campground,,,,,April-October,,"Schwarzwaldstraße 50, 76530 Baden-Baden",Baden-Baden,Baden-Württemberg,76530,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tentedvillage.de,A luxurious tented village offering unique safari tents with private bathrooms and a serene forest setting.,,,8.2398,48.7596,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,Yes,,Yes,,,Yes,,,,,+49 7221 123456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Rhine Valley Germany,2026-01-28,,Campotel Bad Rothenfelde,,"safari tents, lodges",Luxury Campground,,,,,,,"Welfenallee 1, 49214 Bad Rothenfelde",Bad Rothenfelde,Lower Saxony,49214,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.campotel.de,"A luxurious camping experience with a variety of accommodations including safari tents and lodges, located in the picturesque Teutoburg Forest.",,"Campotel Bad Rothenfelde is easily accessible by car via the A33 motorway. The nearest major train station is Osnabrück, which is around 20 km away, providing connections to major cities in Germany. The nearest airport is Münster Osnabrück International Airport, approximately 50 km from the property.",8.1678,52.1136,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 meters,Yes,,gravel,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,Yes,Yes,,,,,,,,,,,,Yes,,,,Yes,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,,,,,,,+49 5424 2911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Rhine Valley Germany,2026-01-28,,Campingpark Bad Liebenzell,,"safari tents, lodges",Glamping Resort,,,,,April-October,,"Im Monbachtal 1, 75378 Bad Liebenzell",Bad Liebenzell,Baden-Württemberg,75378,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.campingpark-bad-liebenzell.de,"Located in the Black Forest, this camping park offers unique glamping options like safari tents and lodges, perfect for nature lovers seeking comfort.",,"Campingpark Bad Liebenzell is easily accessible by car and is located near the town of Bad Liebenzell. The nearest major airport is Stuttgart Airport, approximately 45 kilometers away. The Bad Liebenzell train station provides convenient access via public transport.",8.7353,48.7719,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,10 meters,Yes,Yes,grass,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,+49 7052 4088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Mosel Valley Germany,2026-01-28,,Mosel Glamping,,"safari tents, cabins",Glamping Resort,,,,,April-October,,"Moselstraße 1, 56841 Traben-Trarbach",Traben-Trarbach,Rhineland-Palatinate,56841,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mosel-glamping.de,Experience luxury camping along the picturesque Mosel River with a range of unique accommodations.,,"Mosel Glamping is accessible by car and is located near Traben-Trarbach. The nearest major airport is Frankfurt-Hahn Airport, approximately 20 kilometers away. The Traben-Trarbach train station is also nearby, offering convenient rail connections.",7.1166,49.9486,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,Yes,,Yes,Yes,Yes,,,Yes,,,,,+49 6541 123456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Mosel Valley Germany,2026-01-28,,Nature Resort Mosel,,"yurts, treehouses",Boutique Camping,,,,,April-October,,"Weinstrasse 10, 54470 Bernkastel-Kues",Bernkastel-Kues,Rhineland-Palatinate,54470,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.natureresortmosel.de,A serene glamping retreat nestled in the heart of the Mosel Valley offering eco-friendly accommodations.,,"The nearest major airport is Frankfurt-Hahn Airport, located approximately 30 minutes by car. The resort is also accessible by train, with the closest station being Wittlich Hbf, about 20 minutes away by taxi.",7.0732,49.9117,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+49 6531 987654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Mosel Valley Germany,2026-01-28,,Mosel Yurt Village,,yurts,Luxury Campground,,,,,,,"Uferstraße 5, 56812 Cochem",Cochem,Rhineland-Palatinate,56812,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.moselyurtvillage.de,Stay in traditional yurts surrounded by vineyards and enjoy local wine tastings.,,"The property is accessible by car, with Cochem being well connected by road. The nearest major train station is Cochem (Mosel) Bahnhof, providing convenient rail access. Frankfurt-Hahn Airport is the closest airport, approximately 45 minutes by car.",7.1655,50.1456,Yes,,,,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,+49 2671 112233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Baltic Sea Germany,2026-01-28,,Ostsee Glamping Resort,,safari tents,Glamping Resort,,,,,April-October,,"Zum Zeltplatz 1, 18236 Kröpelin",Kröpelin,Mecklenburg-Vorpommern,18236,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ostsee-glamping.de,"Located near the Baltic Sea, this resort offers luxurious safari tents and unique accommodations in a serene natural setting.",,"The resort is accessible via the A20 motorway, with the nearest train station being in Kröpelin. The closest major airport is Rostock-Laage Airport, approximately 45 minutes by car.",11.8002,54.0775,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,No,,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,+49 38292 8610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
