property_name,website_url,date_opened,resort_category,operational_status,City,State,Job Number,Google Review,Number of Reviews,Year of First Review
23-179A-05,,,Glamping resort,,Centre,AZ,23-179A-05,,,
23-250A-09,,,Glamping resort,,Sandusky,OH,23-250A-09,,,
23-296A-12,,,Glamping resort,,Stone Mountain,GA,23-296A-12,,,
25-107A-01,,,Glamping resort,,,CO,25-107A-01,,,
25-138A-03,,,Glamping resort,,,CO,25-138A-03,,,
25-138B-03,,,Glamping resort,,Cadillac,MI,25-138B-03,,,
Abide RV Resort,,,RV Resort,,Cragford,AL,23-156A-04,,,
Allatoona Landing Resort,,,Glamping resort,,Cartersville,GA,24-102A-01,,,
Amici Resorts,,,Glamping resort,,Altamont,TN,24-194A-06,,,
ANAWAY PLACE,http://anaway.com/,,Glamping resort,Open (OPERATIONAL),Richland Center,WI,23-283A-11,4.7,130,2025
Arbor Camp,https://arborcamp.com/,,Glamping resort,Open (OPERATIONAL),Ellsworth,ME,23-286A-11,5,10,2025
Arbor Camp Glamping Resort,,,Glamping resort,,Ellsworth,ME,24-208A-07,,,
are its remote location,,,Glamping resort,,Bledsoe County,TN,23-220A-08,,,
ARG		Pegasus Landing			GA	Proposed Luxury RV Park,,,Glamping resort,,Grants Pass,OR,23-228A-08,,,
Arkansas River Retreat,,,Glamping resort,,Salida,CO,24-127A-03,,,
Arrowhead RV Resort,,,RV Resort,,Carson City,NV,23-102A-01,,,
Arroyos Preserve RV Resort,,,RV Resort & Glamping,,La Paz Valley,AZ,20-309A-09,,,
Ashland/Huntington KOA,,,RV Resort,,Argillite,KY,ARG-ashland-huntington-koa-argillite-ky-ky,,,
Banderas Point,,,RV Resort & Glamping,,Frankfort,IN,23-128A-02,,,
Basecamp Parks,,,Glamping resort,,Weed,CA,23-246A-09,,,
Bashfully Bold Barn,,,Glamping resort,,Fountain Inn,SC,22-205A-06,,,
Bella Terra Resort,,,RV Resort,,Foley,AL,ARG-bella-terra-resort-foley-al-al,,,
"Bellaire, MI Glamping Market Analysis",,,Glamping resort,,Bellaire,MI,25-271A-08,,,
Belle Cypress RV Resort,,,RV Resort,,Avondale,LA,17-128A-05,,,
Benton County RV Resort,,,RV Resort,,Siloam Springs,AR,21-106A-02,,,
Bienville RV Resort,,,RV Resort,,White Springs,FL,20-102A-01,,,
Blue Sky San Marcos,,,Other,,,,24-302A-12,,,
Bouie River RV Resort,,,Glamping resort,,Hattiesburg,MS,25-103A-01,,,
Bradford Run,,,RV Resort,,Aguanga,CA,19-180A-09,,,
Broadriver Campground,,,RV Resort,,Mooresboro,NC,23-114A-02,,,
Buckeye RV Park,,,RV Resort,,Buckeye,AZ,17-121A-03,,,
Camp Margaritaville San Marcos,,,Glamping resort,,San Marcos,TX,25-203A-05,,,
Camp Matziv,,,RV Resort,,Cassopolis,MI,19-186A-10,,,
Camp Verde RV Resort,,,RV Resort,,Camp Verde,,23-214A-08,,,
Canary Beach Resort,,,RV Resort,,Villard,MN,22-174A-04,,,
Carolina Hideaway Resort,,,Glamping resort,,Stokesdale,NC,23-270A-10,,,
Castle Gate RV Park,https://castlegatervpark.com/,,RV Resort,Open (OPERATIONAL),Helper,UT,21-240A-09,4.8,626,2025
Catskill Adventure Resort,,,RV Resort,,Wurtsboro,NY,ARG-catskill-adventure-resort-wurtsboro-ny-ny,,,
CC RV Park,,,Glamping resort,,Laramie County,WY,25-109A-25,,,
CCF Bank,,,Glamping resort,,Pickens,SC,25-209A-05,,,
Chippewa Ranch Camp,http://www.chippewaranchcamp.com/,,Other,Open (OPERATIONAL),Eagle River,WI,20-226A-03,4.9,28,2017
Cimarron Ranch RV Resort,,,RV Resort,,Marble Falls,TX,23-273A-10,,,
Circle G Ranch RV Resort,,,RV Resort,,Horn Lake,MS,21-116A-03,,,
Coal Burned Spoon Sanctuary,,,Glamping resort,,Greenwood,ME,21-230A-08,,,
Coastal Crossroads RV Resort,,,RV Resort,,Fairhope,AL,23-249A-09,,,
Columbia Gorge Getaways,https://www.columbiagorgegetaways.com/,,Glamping resort,Open (OPERATIONAL),Carson,WA,21-294A-11__2,5,52,2025
Confidential,,,RV Resort,,Greene County,TN,23-106A-01,,,
Contentment Resort,,,Glamping resort,,Rogers,AR,22-193A-05,,,
Coral Junction Motorcoach and RV Resort,,,RV Resort,,Hurricane,UT,24-153A-04,,,
Coral Junction Motorcoach Resort,,,RV Resort,,Hurricane,UT,22-221A-06,,,
Cottonwood Creek RV Resort,,,RV Resort,,Ennis,TX,18-167A-10,,,
Country Blossom RV Resort,,,RV Resort,,Burton,TX,21-130A-04,,,
Cove Point,,,RV Resort & Glamping,,Heber City,UT,24-110A-01,,,
Crossings RV Resort,,,RV Resort,,Placerville,CA,21-140A-05,,,
Crystal Lake RV Park,https://crystallakerecreation.com/,,RV Resort,Open (OPERATIONAL),Rock Falls,IL,21-228A-08,4.2,172,2024
Cypress Lake RV Resort,,,RV Resort,,Berwick,LA,24-174A-05,,,
Dan Clancy,,,RV Resort,,Shelton,WA,25-212B-06,,,
Dart Appraisal / Live Oak,,,RV Resort,,Danville,MO,25-242A-07,,,
Dart Appraisal / Live Oak Bank,,,RV Resort,,Darlington,SC,25-204A-05,,,
deemed to be feasible,,,Glamping resort,,Pisgah Forest,NC,23-272A-10,,,
Delaney Road RV Park,,,RV Resort,,Salem,OR,20-250A-05,,,
Delaware River Campground,http://delawarerivercampground.com/,,RV Resort,Open (OPERATIONAL),Knowlton Township,NJ,24-134A-03,4,460,2025
Desert Stargazing Resort,,,Other,,,CA,25-339A-11,,,
development,,,Glamping resort,,La Grande,OR,23-157A-04,,,
"development and demand.
Attractions",,,Glamping resort,,Payson,AZ,23-197A-07,,,
"development.
Attractions",,,Glamping resort,,Laramie,WY,23-202A-07,,,
Double Down RV Park,,,RV Resort,,Vinton,LA,16-202A-10,,,
Dream West Resort,,,Glamping resort,,Cottonwood,AZ,24-165A-04,,,
Dundee Hills Resort,https://dundeehillsresort.com/,,RV Resort,Open (OPERATIONAL),Dundee,OR,23-144A-03,4.3,116,2025
Durango RV Resort,https://www.robertsresorts.com/resorts/oasis-durango/?utm_source=google&utm_medium=maps,,RV Resort,Open (OPERATIONAL),Red Bluff,CA,ARG-durango-rv-resort-red-bluff-ca-ca,4.5,510,2025
Eagle's Way Riverfront Park,,,RV Resort,,St. Joseph,MO,23-201A-07,,,
Eagles Perch RV Park,,,RV Resort,,Bethel,OH,23-298A-12,,,
Elk & Embers Mountain Hideaway,,,Glamping resort,,Haywood County,NC,23-152A-04,,,
Elk Ridge RV Resort,,,RV Resort,,Falls City,ID,22-297A-10,,,
Estancia Natura,,,Glamping resort,,Manaboa,DR,22-317A-10,,,
Evening Star Campground,,,RV Resort,,Topeka,IL,20-310C-09,,,
Falvey RV Park,,,RV Resort,,Limon,CO,21-233A-08,,,
Finding Medina RV Resort,,,RV Resort,,San Antonio,TX,20-299A-08,,,
Floyd Family Campground,,,RV Resort,,Floyd,VA,24-104A-01,,,
Folklore Lodges,,,Other,,,AR,25-313A-10,,,
Franklin Canyon RV Resort,,,RV Resort,,Hercules,CA,24-201A-06,,,
Fredericksburg RV & Lodging Resort,,,RV Resort & Glamping,,Fredericksburg,TX,20-110A-01,,,
Freedom Island Campground & Marina,,,RV Resort,,Hager City,WI,23-139A-03,,,
Freeport RV Resort,,,RV Resort,,Freeport,FL,24-129A-03,,,
Fries RV Resort,,,Glamping resort,,,CO,23-293A-11,,,
Geocamp Colorado,,,Glamping resort,,Chalk Creek,CO,21-294A-11,,,
"Glamping Feasibility Study
Thin Spaces LL",,,Glamping resort,,Jasper,GA,25-100A-01,,,
Grand Canyon @ The Outpost,,,Glamping resort,,Williams,AZ,22-308A-10,,,
Grand Riviera RV Resort,,,RV Resort,,Foley,AL,19-117A-04,,,
Great Lakes RV Resort,,,RV Resort,,Porter,IN,22-236A-07,,,
Greenfield RV Resort at Grants Pass,,,RV Resort,,Grants Pass,OR,22-281A-09,,,
Greenspace Resort,,,RV Resort,,Bennettsville,SC,22-222A-06,,,
Gulf Coast Bank,,,Glamping resort,,Thompson,NY,25-219A-06,,,
Harker Heights RV Resort (by Open Air),,,Other,,,TX,25-257A-07,,,
Harper Price,,,Glamping resort,,Tortilla Flat,AZ,24-212A-07__2,,,
Haven Hills Resort,,,RV Resort,,Aledo,IL,22-328A-11,,,
Havn Glacier,http://www.havnglacier.com/,,Glamping resort,Open (OPERATIONAL),Whitefish,MT,24-186A-06,5,1,2026
Hi Tide Beach and Campground,,,RV Resort,,Leland,IL,24-149A-04,,,
Hidden Oasis,,,Glamping resort,,Delaware County,OK,25-364A-12,,,
Hidden Waters RV Park & Campground,http://hidden-waters.com/,,Glamping resort,Open (OPERATIONAL),Robbinsville,NC,23-6304A-12,4.8,152,2025
High View RV Resort at Boulder Creek,,,RV Resort,,Camp Verde,,23-294A-12,,,
Holly Acres Campground,https://hollyacrescampground.com/,,RV Resort,Open (OPERATIONAL),Egg Harbor City,NJ,24-133A-03,4.6,144,2025
Idleyld Park RV Resort,,,Glamping resort,,Douglas County,OR,25-240A-07,,,
ILA RV Resort,,,RV Resort,,Mayer,AZ,18-110A-03,,,
in a natural setting. The proposed offeri,,,Glamping resort,,Lago Vista,TX,25-314A-10,,,
in a world class dual waterfront access s,,,Glamping resort,,Ojai,CA,25-206A-05,,,
in a world-class dual waterfront access s,,,Glamping resort,,Buffalo Junction,VA,26-105A-01,,,
Inner Banks RV Park,,,RV Resort,,Columbia,NC,24-147A-04,,,
Iron Ore RV Park,,,RV Resort,,Concan,,23-161A-05,,,
Island Camping and Marina,,,RV Resort,,Hager City,WI,21-295A-11,,,
Island Time RV Resort,https://islandtime-rvresort.com/,,RV Resort,Temporarily closed,Navarre,FL,22-110A-03,3.7,3,2024
Isokan Retreat,,,Glamping resort,,Dix,NY,24-220A-08,,,
Jeff Pfiel,,,Glamping resort,,Bozeman,MT,25-134A-02,,,
Jellystone Park Camp-Resort,,,RV Resort,,Warrens,WI,ARG-jellystone-park-camp-resort-warrens-wi-wi,,,
Johnny Duda,,,Other,,Fischer,TX,24-260A-09,,,
Jubilee RV and Camping Park,,,RV Resort,,New Orleans,LA,22-203A-06,,,
Justin Highland-Market Analysis,,,Other,,Fort Worth,TX,25-263A-08,,,
Kamper Kompanion RV Park,https://kamperkompanion.com/,,RV Resort,Open (OPERATIONAL),Litchfield,IL,22-229A-06,4.6,318,2025
Kentucky Downs RV Resort,,,RV Resort,,Franklin,KY,24-125A-03,,,
Kernel Farms,,,Glamping resort,,Goshen,NY,23-274A-10,,,
Kingdom Campground,https://kingdomcampground.com/,,RV Resort,Open (OPERATIONAL),Lyndonville,VT,19-107A-02,4.8,121,2025
Knights of the RV,,,RV Resort,,Plantersville,TX,24-143A-03,,,
Komodo Springs Glamping Resort,,,Glamping resort,,Campton,KY,23-137A-03,,,
Kootenai Creek,,,Glamping resort,,Stevensville,MT,25-137A-03,,,
Lake Clinch RV Resort,,,RV Resort,,Frostproof,FL,22-298A-09,,,
Lake Louise RV Resort,http://www.lakelouiservresort.com/,,RV Resort,Open (OPERATIONAL),Bryon,IL,22-163A-03,3.8,383,2025
Lake Mason Campground,https://camplakemason.com/?utm_campaign=gmb,,RV Resort,Open (OPERATIONAL),Briggsville,WI,24-118A-02,4.5,128,2025
Lake Texoma Cabins,,,Glamping resort,,Kingston,OK,24-209A-07,,,
Lakeshore Village RV Park,,,RV Resort,,Madison,FL,23-277A-11,,,
Lakeside Hybrid RV Resort and Lakeside Commons,,,RV Resort,,Tonganoxie,KS,24-210A-07,,,
Lakeside RV Resort,https://rjourney.com/park/la/lakeside/?utm_source=google&utm_medium=organic&utm_campaign=gbp_lakeside&utm_content=website,,RV Resort,Open (OPERATIONAL),Tonganoxie,KS,17-182A-11,4.6,754,2025
Lanier's Campground,,,RV Resort,,Surf City,NC,22-263A-08,,,
Lantern Oaks RV Resort,https://lanternoaks.com/,,RV Resort,Open (OPERATIONAL),Fredericksburg,TX,24-196A-06,4.8,527,2025
LaPorte Road RV Park,,,RV Resort,,New Buffalo,MI,18-114A-03,,,
Legacy Lane RV Resort,,,RV Resort,,Brantley,AL,20-106A-01,,,
Leisure Lake Membership Resort,http://www.leisurelakeresort.com/,,RV Resort,Open (OPERATIONAL),Joliet,IL,19-144A-07,3.9,251,2025
Liberty Point,,,Glamping resort,,Norman,OK,23-281A-11,,,
Llano Landing RV Resort,,,RV Resort & Glamping,,Llano,TX,20-318A-10,,,
London Bridge RV Resort,,,RV Resort,,Lake Havasu,AZ,19-112A-02,,,
Long Creek RV Park,https://longcreekrvparktx.com/,,RV Resort,Open (OPERATIONAL),New Braunfels,TX,22-318A-10,4.4,13,2025
Loop 363 RV Park,,,RV Resort,,Temple,TX,20-231A-03,,,
Luray RV Resort & Campground on Shenandoah River,,,RV Resort,,Luray,VA,24-160A-04,,,
Madrone Tree Hill,https://www.madronetreehill.com/,,Glamping resort,Open (OPERATIONAL),Camino,CA,20-356A-11,4.5,39,2020
Manor Tiny Wildlife Resort,,,RV Resort,,Manor,TX,20-332A-10,,,
Margaritaville RV Resort,,,RV Resort,,Auburndale,FL,21-123A-04,,,
Marty And Brandon Palmer,,,RV Resort,,Litchfield,IL,25-266A-08,,,
Mary Simmons-FS Add-on,,,Glamping resort,,Kingston,OK,24-209B-07,,,
MayaVita,,,Other,,,VA,25-296A-09,,,
Mike Sullivan,,,RV Resort,,Cloverdale,IN,25-211A-06,,,
Moab Glamping Caves,,,Glamping resort,,Moab,UT,23-191A-06,,,
Monarch Resort,,,RV Resort & Glamping,,Horseshoe Bay,TX,24-144A-03,,,
Moore Haven Lake Estates,,,RV Resort,,West Palm Beach,FL,ARG-moore-haven-lake-estates-west-palm-beach-fl-fl,,,
Mountain View RV Resort,,,RV Resort,,Salome,AZ,20-325A-11,,,
Neon Ranch RV Resort,,,RV Resort,,Gold Canyon,AZ,21-122A-04,,,
New River City Retreat,,,Glamping resort,,Montgomery County,VA,25-126A-02,,,
New River Ridge,https://www.newriverridge.com/,,Glamping resort,Open (OPERATIONAL),Grassy Creek,NC,24-180A-06,5,3,2026
Nickajack Shores RV Resort,,,RV Resort,,Jasper,TN,24-109A-01,,,
Norman South RV Resort,,,Other,,,OK,23-281A-09,,,
Observer Ranch,https://observerranch.com/,,RV Resort & Glamping,Open (OPERATIONAL),Penrose,CO,23-104A-01,5,155,2025
Ocean Club Luxury RV Destination,,,RV Resort,,St. Augustine,FL,24-198A-06,,,
Ocean Club RV Park,,,Other,,,FL,23-196A-06,,,
Ocean Springs Island RV Resort,,,RV Resort,,Ocean Springs,,23-166A-05,,,
Old Trails Bridge RV Resort,,,RV Resort,,Topock,AZ,23-194A-06,,,
Open Air Resort,,,RV Resort,,Harker Heights,TX,19-123A-04,,,
Open Air Resorts - Spicewood,,,Glamping resort,,Travis County,TX,25-256A-07,,,
Open Sky Zion,https://www.stayopensky.com/,,Glamping resort,Open (OPERATIONAL),Virgin,UT,24-182A-06,5,336,2026
Peaceful Valley Ranch,http://eventsatpvr.com/,,RV Resort,Open (OPERATIONAL),Idaho Springs,CO,22-306A-10,4.3,80,2024
Pegasus Landing,,,RV Resort,Unknown,Blairsville,GA,ARG-pegasus-landing-blairsville-ga-ga,,,
Pelican Point RV Park,http://www.pelicanpointrv.com/,,RV Resort,Open (OPERATIONAL),Plaquemine,LA,18-188A-12,4.1,242,2023
Peralta Pass RV Resort,,,RV Resort,,Queen Valley,AZ,20-270A-01,,,
Pinetop RV Resort,,,RV Resort,,Pinetop-Lakeside,AZ,19-168A-09,,,
Pioneer RV Park,,,RV Resort,,Port Aransas,TX,23-183A-05,,,
Port of Olympia RV Resort,,,RV Resort,,Olympia,WA,19-219A-12,,,
Post Oak Creek RV Resort,,,RV Resort & Glamping,,Elm Mott,TX,19-185A-10,,,
Prospect Lake Park,,,Glamping resort,,North Egremont,MA,23-129B-03,,,
Purple Sage RV Resort,,,RV Resort,,Soap Lake,WA,20-107A-01,,,
Quantum Space Resorts (Sedona),,,Glamping resort,,Cottonwood,AZ,25-310A-10,,,
Ragged Mountain RV Resort,,,RV Resort & Glamping,,Danbury,NH,20-245A-05,,,
Ray Roberts Marina and RV Park,,,RV Resort,,Sanger,TX,22-273A-08,,,
Real Tejas RV Resort,,,RV Resort,Open (OPERATIONAL),Kyle,TX,21-322A-12,,,
Rendezvous Resort,,,Glamping resort,,Breckenridge,CO,25-181A-04,,,
Rights Appraised,,,Glamping resort,,Gulfport,MS,23-207A-07,,,
Rising Sun Ridge,,,Glamping resort,,Rising Fawn,GA,22-164A-04,,,
River Beach Resort,,,RV Resort,,Mays Landing,NJ,22-113A-03,,,
River Dreamers RV Park,,,RV Resort,,Ehrenberg,AZ,21-311A-12,,,
Riverbend Glamping Resort,,,Glamping resort,,Gallatin Gateway,MT,19-214A-12,,,
Riverview/Stateline RV Resort,,,RV Resort,,Spokane County,WA,19-133A-06,,,
Riverwalk RV Resort,,,RV Resort,,Astor,FL,20-340A-11,,,
Roaring Point Campground,http://www.roaringpoint.com/,,RV Resort,Open (OPERATIONAL),Nanticoke,MD,22-110A-03__2,4.6,207,2024
Rock Quarry RV Resort,,,RV Resort,,San Leandro,CA,24-103A-01,,,
Rock Springs RV Resort,http://www.rockspringsrvresort.com/?utm_source=gbp&utm_medium=organic&utm_campaign=main_website,,RV Resort,Open (OPERATIONAL),Yacapai County,AZ,23-149A-04,5,1,2025
Rooted in Retreats,,,Glamping resort,,,CO,25-177A-04,,,
Royal York Golf Course,,,RV Resort,Permanently closed,Armstrong BC,"BC, CANADA",19-150A-09,4.3,144,2019
Rustic Roost RV Resort & Self-Storage Facility,,,RV Resort,,Gretna,FL,24-106A-01,,,
RV Lakefront Resort,,,RV Resort,,Ardmore,OK,21-121A-04,,,
RV Park at Seabrook,,,RV Resort,,Pacific Beach,WA,26-134A-03,,,
Shawnee Bend Recreation Area,,,RV Resort,,Warsaw,MO,20-347A-11,,,
"Simmons Bluff Road
Woodbine",,,Glamping resort,,,CO,23-303A-12,,,
Sindey Park RV Park,,,RV Resort,,Port Orchard,WA,20-118A-02,,,
Skokomish Park at Lake Cushman,https://www.skokomishtourism.com/skokomish-park,,Glamping resort,Open (OPERATIONAL),Mason County,WA,25-150A-03,4.4,531,2025
Sky Diamonds Glamping/RV Resort,,,Glamping resort,,,CO,25-169A-04,,,
Sojourner Glamping Resort,,,Glamping resort,,Stanardsville,VA,23-138A-03,,,
Sonora Lake RV Resort,,,RV Resort,,Gila Bend,AZ,17-136A-06,,,
South Canyon Farms,,,RV Resort,,Twin Falls,ID,22-291A-09,,,
South Gate's Big Rig RV Resort,,,RV Resort,,Layton,UT,20-313A-09,,,
Southern Escape RV Resort,,,RV Resort,,Oatmeal,TX,19-207A-11,,,
Spencer RV Park,,,Other,,,TN,26-107A-01,,,
Sportif Glamping Resort,,,Glamping resort,,Fort Myers,FL,23-204A-07,,,
St Charles/Bear Lake Glamping Resort,,,Glamping resort,,St Charles,ID,23-174A-05,,,
St. Ives RV Park,,,RV Resort,,Alvin,TX,17-195A-12,,,
Starlite Classic Campground,https://starlitevintageresort.com/,,Glamping resort,Open (OPERATIONAL),Cañon City,CO,23-244A-09,4.7,249,2025
Starry Skies RV Park,,,Glamping resort,,Sierra Vista,AZ,23-222B-08,,,
Sterling Federal Bank,,,Glamping resort,,Ottawa,IL,25-279A-08,,,
Stinson RV Park,,,RV Resort,,Campbell,TX,20-230A-03,,,
Sugar Hill RV Ranch,,,RV Resort,,Anna,TX,19-204A-11,,,
SummaryResort NameBlack Creek RV ParkReso,,,Glamping resort,,Brentwood,TN,23-227A-08,,,
SummaryResort NameBurleson RV ParkResort,,,Glamping resort,,Addison,TX,23-165A-05,,,
SummaryResort NameCalaveras RV ParkResort,,,Glamping resort,,Addison,TX,23-164A-05,,,
SummaryResort NameFranklin Canyon RV Reso,,,Glamping resort,,Copperopolis,CA,23-160A-04,,,
SummaryResort NamePitmaster RV ParkResort,,,Glamping resort,,Boerne,TX,23-140A-03,,,
SummaryResort NameWindmill Oasis RV Campg,,,Glamping resort,,Vernon,TX,23-268A-10,,,
Sundowner RV Park,https://sundownerrvpark.com/,,RV Resort,Open (OPERATIONAL),Princeton,TX,19-163A-08,4.7,119,2023
Sunsets RV Park,,,RV Resort,,Austin,TX,21-157A-06,,,
Sylvan Lake,,,Glamping resort,Unknown,Dutchess County,NY,26-100A-01,,,
Table Rock Canyon,,,RV Resort,,Hollister,MO,19-135A-06,,,
Tall Sycamore Campground,http://www.tallsycamorecampground.com/,,RV Resort,Open (OPERATIONAL),Logansport,IN,20-310B-09,4.3,157,2025
Tallahassee West Midway RV Resort,,,RV Resort,,Tallahassee,FL,21-135A-05,,,
"TBD-Ansted, WV",,,Glamping resort,,Ansted,WV,23-309A-12,,,
TBH-Hub Basecamp,,,Glamping resort,,Pisgah Forest,NC,23-312A-12,,,
TBH-Morganton RV/Glamping Resort,,,RV Resort & Glamping,,Morganton,NC,24-116A-02,,,
The Camp at Smith Lake,,,RV Resort & Glamping,,Crane Hill,AL,22-278A-09,,,
The Embers Glamping & RV Resort,https://www.theembersbranson.com/,,RV Resort,Open (OPERATIONAL),Branson,MO,22-346A-12,4.9,124,2025
The Lost Hamptons Resort,,,Glamping resort,,Windsor,NY,24-164A-04,,,
The Marbella,,,Glamping resort,,Breckenridge,TX,21-103A-01,,,
The Outpost Glamping Resort,,,Glamping resort,,Williams,AZ,24-139A-03,,,
The Peninsula Lakefront RV Resort,,,RV Resort,,Breckenridge,TX,21-181A-07,,,
The Ranch at Salt River,,,Glamping resort,,Tortilla Flat,AZ,24-212A-07,,,
The Wilds,http://thewilds.org/,,Glamping resort,Open (OPERATIONAL),Easton,WA,21-147A-05,4.8,3976,2025
Tiger Cove RV Resort,,,RV Resort,,Anderson,SC,22-171A-04,,,
Tiger Creek RV Resort,,,RV Resort,,Tyler,TX,20-319A-10,,,
Tim Tam Camping Resort,,,RV Resort,,Jackson Township,NJ,24-135A-03,,,
To Be Determined,,,RV Resort,,Shenandoah Valley,VA,22-178A-05__2,,,
Tortilla Flat/Salt River Glamping,,,Glamping resort,,Tortilla Flat,AZ,22-327A-11,,,
Tower Park Marina & Resort,,,RV Resort,,Lodi,CA,16-216A-11,,,
Trail and Hitch Hotel & RV Park,,,RV Resort,,Meeker,CO,20-278A-07,,,
Tuxedo Falls,https://tuxedofalls.com/,,Glamping resort,Open (OPERATIONAL),Zirconia,NC,24-107A-01,5,120,2025
Twin Arrows Resort,,,RV Resort & Glamping,,Twin Arrows,AZ,22-227A-06,,,
Twin Ponds RV Resort,,,RV Resort,,Cloverdale,IN,23-141A-03,,,
Two Guns Glamping and RV Resort,,,RV Resort & Glamping,,Two Guns,AZ,19-113A-03,,,
Tyler Creek Campground,,,RV Resort,,Alto,MI,20-310A-09,,,
Type,,,Glamping resort,,Dripping Springs,TX,23-163A-05,,,
Update 50 Prospect Lake Road,,,Glamping resort,,North Egremont,MA,23-129A-03,,,
Valley RV Resort at Tonaquint,,,RV Resort,,St. George,UT,21-183A-07,,,
vending area,,,Glamping resort,,Emory,TX,25-101A-01,,,
Walden Retreats,,,Glamping resort,,Johnson City,TX,20-323A-10,,,
Weiser River Trailhead RV Resort,,,RV Resort,,Show Low,ID,23-189A-06,,,
Wesley Weidermann,,,Glamping resort,,Mosinee,WI,25-220A-06,,,
Whisper Ridge,,,RV Resort,,Oroville,CA,24-192A-06,,,
White Oaks Lake,,,Glamping resort,,Chattahoochee Hills,GA,24-187A-06,,,
Wildheart Resort,,,Glamping resort,,Kansas City,MO,24-142A-03,,,
Wildish,,,Glamping resort,,Pescadero,CA,23-260A-09,,,
Willow Creek RV Park,,,RV Resort,,Franklin,NC,ARG-willow-creek-rv-park-franklin-nc-nc,,,
Windemere Cove RV Resort,,,RV Resort,,Langston,AL,21-224A-08,,,
Winslow East RV Resort,,,RV Resort,,Winslow,AZ,23-276A-11,,,
with access to ATV trails. The proposed o,,,Glamping resort,,Bluefield,WV,25-123A-02,,,
with proximity to Joshua Tree National Pa,,,Glamping resort,,Joshua Tree,CA,25-306A-09,,,
Woodstock Pines Glamping Resort,,,Glamping resort,,Bethel,NY,23-158A-04,,,
Yogi Bear's Jellystone Park,,,RV Resort,,Monticello,IA,21-131A-04,,,
Zephyr Cove Resort & Marina,,,RV Resort,,Lake Tahoe,NV,23-109A-01,,,