kind,property_id,property_name,row_id,field,existing_value,proposed_value,confidence,evidence,source_url
unmatched_row,05d268d4-d3b1-479d-9104-d7c170e1fcb1,The Destination,,unit_match,,"{""site_name"":null,""unit_type"":null}",high,"Each Glamp has a private deck with room for lounging, dining and of course a relaxing soak in a private hot tub.",https://www.tdbsc.com/
value_mismatch,60398957-6aab-476e-9253-8531d1c81f4b,The Inn & Spa at Cedar Falls,10317,unit_hot_tub_or_sauna,No,Yes,high,Cottages feature in-room whirlpool tubs.,https://innatcedarfalls.com/
value_mismatch,60398957-6aab-476e-9253-8531d1c81f4b,The Inn & Spa at Cedar Falls,10318,unit_hot_tub_or_sauna,No,Yes,high,Cottages feature in-room whirlpool tubs.,https://innatcedarfalls.com/
value_mismatch,60398957-6aab-476e-9253-8531d1c81f4b,The Inn & Spa at Cedar Falls,10508,unit_hot_tub_or_sauna,No,Yes,high,Some cabins have two-person whirlpool hot tubs.,https://innatcedarfalls.com/
value_mismatch,ad312471-3062-41d1-af0a-60ece08ce1da,Camp Fimfo,10049,unit_hot_tub_or_sauna,No,Yes,high,The Hilltop Coyote Bubbly Cabin includes a private hot tub.,https://campfimfo.com/texas-hill-country
value_mismatch,c9482aca-7023-4d29-a4c3-4a40faa9a4e1,Zion Ponderosa Ranch Resort,9844,unit_hot_tub_or_sauna,Yes,No,medium,Family-friendly pool and jacuzzi located at the resort property.,https://www.zionponderosa.com/
value_mismatch,c9482aca-7023-4d29-a4c3-4a40faa9a4e1,Zion Ponderosa Ranch Resort,10544,unit_hot_tub_or_sauna,Yes,No,medium,Family-friendly pool and jacuzzi located at the resort property.,https://www.zionponderosa.com/
value_mismatch,c9482aca-7023-4d29-a4c3-4a40faa9a4e1,Zion Ponderosa Ranch Resort,10545,unit_hot_tub_or_sauna,Yes,No,medium,Family-friendly pool and jacuzzi located at the resort property.,https://www.zionponderosa.com/
value_mismatch,c9482aca-7023-4d29-a4c3-4a40faa9a4e1,Zion Ponderosa Ranch Resort,10666,unit_hot_tub_or_sauna,Yes,No,medium,Family-friendly pool and jacuzzi located at the resort property.,https://www.zionponderosa.com/
value_mismatch,c9482aca-7023-4d29-a4c3-4a40faa9a4e1,Zion Ponderosa Ranch Resort,10667,unit_hot_tub_or_sauna,Yes,No,medium,Family-friendly pool and jacuzzi located at the resort property.,https://www.zionponderosa.com/
value_mismatch,c9482aca-7023-4d29-a4c3-4a40faa9a4e1,Zion Ponderosa Ranch Resort,10668,unit_hot_tub_or_sauna,Yes,No,medium,Family-friendly pool and jacuzzi located at the resort property.,https://www.zionponderosa.com/
value_mismatch,24e5fe17-8948-4bfa-a74d-1e71ec267c91,Lakedale Resort,9839,unit_hot_tub_or_sauna,No,Yes,high,Stay in a deluxe yurt with all the comforts of home and a large private deck surrounded by forest…and your own private hot tub.,https://www.lakedale.com/
value_mismatch,24e5fe17-8948-4bfa-a74d-1e71ec267c91,Lakedale Resort,10408,unit_hot_tub_or_sauna,Yes,No,medium,"Glamorous camping is here to stay, so choose a cozy Canvas Cabin or a larger Canvas Cottage with a bathroom. All the fun and none of the hassle.",https://www.lakedale.com/
value_mismatch,34e99c8b-17ed-4e47-936a-21ad44e73ac1,Lakedale,9838,unit_hot_tub_or_sauna,No,Yes,high,Stay in a deluxe yurt with all the comforts of home and a large private deck surrounded by forest…and your own private hot tub.,https://www.lakedale.com/
value_mismatch,c10e389b-51b2-4f0d-96d8-446fcc0d762a,Lake Compounce,10435,unit_hot_tub_or_sauna,No,Yes,high,Modern cabins have hot tubs.,https://lagolinda.com/
value_mismatch,c10e389b-51b2-4f0d-96d8-446fcc0d762a,Lake Compounce,10436,unit_hot_tub_or_sauna,No,Yes,high,Modern cabins have hot tubs.,https://lagolinda.com/
value_mismatch,c10e389b-51b2-4f0d-96d8-446fcc0d762a,Lake Compounce,10471,unit_hot_tub_or_sauna,No,Yes,high,Modern cabins have hot tubs.,https://lagolinda.com/
low_confidence,f433add8-337d-4c76-a5e8-15ac402867f7,Rustic Rook Resort,10118,unit_hot_tub,,No,low,No mention of private hot tubs or saunas for Estate Tents.,https://rusticrookresort.com
low_confidence,f433add8-337d-4c76-a5e8-15ac402867f7,Rustic Rook Resort,10119,unit_hot_tub,,No,low,No mention of private hot tubs or saunas for Homestead King w/kids tent.,https://rusticrookresort.com
value_mismatch,86f9b55e-378c-46c9-b425-4229cbb0279b,Onera Wimberley,10886,unit_hot_tub_or_sauna,Yes,No,medium,The property mentions a communal hot tub but does not specify a private hot tub for the Treehouse unit.,https://stayonera.com/locations/wimberley/
low_confidence,4419eb3e-2657-4c18-a94c-5bd5aa3286e4,Borealis Basecamp,9574,unit_hot_tub_or_sauna,,No,low,No mention of a private hot tub or sauna for the Fiberglass Igloo.,https://borealisbasecamp.net/
low_confidence,4419eb3e-2657-4c18-a94c-5bd5aa3286e4,Borealis Basecamp,9575,unit_hot_tub_or_sauna,,No,low,No mention of a private hot tub or sauna for the Cube.,https://borealisbasecamp.net/
value_mismatch,73d85596-1d95-4938-b61d-d39f697080d0,Lucky Arrow Retreat,10064,unit_hot_tub_or_sauna,No,Yes,high,Breezeway Cabins have a private hot tub perfect for stargazing.,https://luckyarrowretreat.com
value_mismatch,cf4479f0-bdbe-4cc0-b220-276518c4347f,Orr Family Farm,9910,unit_hot_tub_or_sauna,Yes,No,medium,Access to our Swim Spa and more are available for our glamping experiences.,https://www.orrfamilyfarm.com/
value_mismatch,cf4479f0-bdbe-4cc0-b220-276518c4347f,Orr Family Farm,10390,unit_hot_tub_or_sauna,Yes,No,medium,Access to our Swim Spa and more are available for our glamping experiences.,https://www.orrfamilyfarm.com/
value_mismatch,6c776703-cdd3-47fb-8158-6be66184684b,The Yurtopian,9831,unit_hot_tub_or_sauna,No,Yes,high,Each yurt features a private hot tub.,http://www.theyurtopian.com/
unmatched_row,ef2e3cfd-80d9-4958-b901-4e0ab1231635,Zion Ponderosa,,unit_match,,"{""site_name"":null,""unit_type"":null}",medium,"The resort amenities include a shared hot tub, but no specific mention of private hot tubs for any unit.",https://www.zionponderosa.com
value_mismatch,4ad2de0d-f11b-4181-8a8b-3a9d293d88bf,Open Sky,10280,unit_hot_tub_or_sauna,No,Yes,high,Star Seeker Superior has a private outdoor heated soaking tub.,https://www.stayopensky.com/
value_mismatch,4c0f6b20-58d9-468e-a2a0-e137787ba686,Carson Ridge Luxury Cabins,10549,unit_hot_tub_or_sauna,No,Yes,high,Each cabin includes a 'soothing jetted tub'.,https://carsonridgecabins.com/
value_mismatch,6df0aaac-7796-457a-8c71-babd2699c838,Asheville Glamping,10343,unit_hot_tub_or_sauna,No,Yes,high,Ultimate Slide Dome includes a private hot tub.,https://www.ashevilleglamping.com/
value_mismatch,6df0aaac-7796-457a-8c71-babd2699c838,Asheville Glamping,10598,unit_hot_tub_or_sauna,No,Yes,high,Deluxe Bell Tent includes a hot tub on the deck.,https://www.ashevilleglamping.com/
value_mismatch,a572ce29-d06f-4f7c-ab4f-cccfdc0551db,Kimberly Creek Retreat,10003,unit_hot_tub_or_sauna,No,Yes,high,Guest review mentions enjoying the hot tub in The Ranch.,https://www.kimberlycreekretreat.com/
value_mismatch,84eacdec-091c-420d-b8e9-3ba71efbbb0f,Massanutten Springs,10546,unit_hot_tub_or_sauna,No,Yes,high,Luxury cabins in Luray with hot tubs included.,https://massanuttensprings.com/index.html
value_mismatch,89a63e01-fcef-4b2e-9db8-8869fd2412c9,At Boulders Edge,10499,unit_hot_tub_or_sauna,No,Yes,high,"Glacier’s Edge Lodge: Hot tub, pet friendly, game room, pool table & Tipi in the backyard.",https://www.atbouldersedge.com/
value_mismatch,89a63e01-fcef-4b2e-9db8-8869fd2412c9,At Boulders Edge,10500,unit_hot_tub_or_sauna,No,Yes,high,Tall Pines Cabin: Hot tub and hammock you can relax in any time of year.,https://www.atbouldersedge.com/
value_mismatch,89a63e01-fcef-4b2e-9db8-8869fd2412c9,At Boulders Edge,10501,unit_hot_tub_or_sauna,No,Yes,high,Sky View Cabin: 4 Person Hot Tub,https://www.atbouldersedge.com/
low_confidence,7ec42554-7532-48e7-8266-3ef53651d52a,Mountain Goat Lodge,9849,unit_hot_tub,,No,low,No mention of a private hot tub or sauna for the Magnolia Trailer.,https://www.mountaingoatlodge.com/
low_confidence,7ec42554-7532-48e7-8266-3ef53651d52a,Mountain Goat Lodge,9850,unit_hot_tub,,No,low,No mention of a private hot tub or sauna for the Retro Campers.,https://www.mountaingoatlodge.com/
low_confidence,7ec42554-7532-48e7-8266-3ef53651d52a,Mountain Goat Lodge,9899,unit_hot_tub,,No,low,No mention of a private hot tub or sauna for the Tipi.,https://www.mountaingoatlodge.com/
low_confidence,879be8ec-96e0-4781-8f11-89a53e828126,"Glamping Florida, by River Ranch",9901,unit_hot_tub,,No,low,No mention of a private hot tub or sauna for Luxe Teepee.,https://www.westgateresorts.com/
low_confidence,879be8ec-96e0-4781-8f11-89a53e828126,"Glamping Florida, by River Ranch",10314,unit_hot_tub,,No,low,No mention of a private hot tub or sauna for Cottages.,https://www.westgateresorts.com/
low_confidence,879be8ec-96e0-4781-8f11-89a53e828126,"Glamping Florida, by River Ranch",10382,unit_hot_tub,,No,low,No mention of a private hot tub or sauna for Luxe Conestoga Wagon.,https://www.westgateresorts.com/
low_confidence,879be8ec-96e0-4781-8f11-89a53e828126,"Glamping Florida, by River Ranch",10442,unit_hot_tub,,No,low,No mention of a private hot tub or sauna for Saddle Club Cabins.,https://www.westgateresorts.com/
value_mismatch,72daf7f3-46db-4521-a2d3-79ca8b39c454,The Juniper Ranch & Retreat,10613,unit_hot_tub_or_sauna,No,Yes,high,"""Every single site has its very own hot tub.""",http://thejuniperranchandretreat.com/
value_mismatch,c4b9e669-a094-4de5-8c17-b8041d18948a,The Glamping Collective,10347,unit_hot_tub_or_sauna,No,Yes,high,Review mentions 'sunset in the hot tub at night' for domes.,https://www.theglampingcollective.com/
value_mismatch,c4b9e669-a094-4de5-8c17-b8041d18948a,The Glamping Collective,10490,unit_hot_tub_or_sauna,No,Yes,high,Review states 'the hot tub was a major plus' for cabins.,https://www.theglampingcollective.com/
value_mismatch,c4b9e669-a094-4de5-8c17-b8041d18948a,The Glamping Collective,10491,unit_hot_tub_or_sauna,No,Yes,high,Review states 'the hot tub was a major plus' for cabins.,https://www.theglampingcollective.com/
value_mismatch,ea25e5c2-777a-4127-b235-d496c752b7d8,Onera Fredericksburg,10067,unit_hot_tub_or_sauna,No,Yes,high,"Both locations provide unobstructed views, private hot tubs, and modern amenities.",https://stayonera.com/
value_mismatch,ea25e5c2-777a-4127-b235-d496c752b7d8,Onera Fredericksburg,10068,unit_hot_tub_or_sauna,No,Yes,high,"Both locations provide unobstructed views, private hot tubs, and modern amenities.",https://stayonera.com/
value_mismatch,ea25e5c2-777a-4127-b235-d496c752b7d8,Onera Fredericksburg,10262,unit_hot_tub_or_sauna,No,Yes,high,"Both locations provide unobstructed views, private hot tubs, and modern amenities.",https://stayonera.com/
value_mismatch,ea25e5c2-777a-4127-b235-d496c752b7d8,Onera Fredericksburg,10369,unit_hot_tub_or_sauna,No,Yes,high,"Both locations provide unobstructed views, private hot tubs, and modern amenities.",https://stayonera.com/
low_confidence,4419eb3e-2657-4c18-a94c-5bd5aa3286e4,Borealis Basecamp,9574,unit_hot_tub_or_sauna,,No,low,No mention of a private hot tub or sauna for the Fiberglass Igloo.,https://borealisbasecamp.net/
low_confidence,4419eb3e-2657-4c18-a94c-5bd5aa3286e4,Borealis Basecamp,9575,unit_hot_tub_or_sauna,,No,low,No mention of a private hot tub or sauna for the Cube.,https://borealisbasecamp.net/
value_mismatch,33c39bef-19cf-43b9-b79a-6eaedfea9ff7,Ashevile River Cabins,9985,unit_hot_tub_or_sauna,No,Yes,high,Riverview Bunk Cabin includes 'Hot Tub'.,https://www.ashevillerivercabins.com/
value_mismatch,33c39bef-19cf-43b9-b79a-6eaedfea9ff7,Ashevile River Cabins,9986,unit_hot_tub_or_sauna,No,Yes,high,Riverview Cabin includes 'Hot Tub'.,https://www.ashevillerivercabins.com/
unmatched_row,062455a0-63d5-4c83-b047-87df70420ee6,The Griffin Ranch,,unit_match,,"{""site_name"":null,""unit_type"":null}",low,No mention of hot tub or sauna facilities in the provided text.,https://www.thegriffinranch.com/
low_confidence,1f6c251b-64c6-4847-bb08-c88ebee79f07,Green Rock Retreat,10896,unit_hot_tub,,No,low,No mention of private hot tub or sauna for Safari Tent.,https://www.greenrockretreat.com/
low_confidence,1f6c251b-64c6-4847-bb08-c88ebee79f07,Green Rock Retreat,10896,unit_hot_tub_or_sauna,,No,low,No mention of private hot tub or sauna for Safari Tent.,https://www.greenrockretreat.com/
unmatched_row,38b37797-1ecc-4c2b-9b0e-b29986c6690c,Wylder Hope Valley,,unit_match,,"{""site_name"":null,""unit_type"":null}",medium,No mention of private hot tubs or saunas in the units.,https://www.desolationhotel.com/hope-valley
unmatched_row,39f3050c-c016-44d6-a6b5-f1dab675a648,Quaint Glamping,,unit_match,,"{""site_name"":null,""unit_type"":null}",low,No specific mention of private or shared hot tubs or saunas in the provided text.,https://www.quaintglamping.com/
unmatched_row,3e48ad3e-072a-4c0e-b354-5e67d1ce71ed,Huttopia Berkshires,,unit_match,,"{""site_name"":null,""unit_type"":null}",medium,No mention of private hot tubs or saunas in any unit descriptions.,https://canada-usa.huttopia.com/en/site/berkshires/
unmatched_row,48bb4f91-7b3b-4811-bd3a-d4b351532275,Hardscrabble Ranch,,unit_match,,"{""site_name"":null,""unit_type"":null}",low,No mention of private or shared hot tubs or saunas in the provided text.,https://www.hardscrabbleranch.com/glamping-tents
unmatched_row,4c22f20d-975f-4813-92aa-7659db882668,Postcard Cabins Hocking Hills,,unit_match,,"{""site_name"":null,""unit_type"":null}",medium,No mention of private hot tubs or saunas in the cabin descriptions.,https://www.marriott.com/en-us/hotels/cmhhh-postcard-cabins-hocking-hills-outdoor-collection-bonvoy/overview/
unmatched_row,7224b076-38a8-4a71-bc17-d0ff6917c2de,Oso Blu Yurts,,unit_match,,"{""site_name"":null,""unit_type"":null}",low,No mention of private or shared hot tub or sauna facilities in the provided text.,https://bearlakeutahvacationrental.com/
unmatched_row,76a8d0fc-de87-4e62-b762-e0dcb7823b6d,Pitch Yellowstone,,unit_match,,"{""site_name"":null,""unit_type"":null}",high,No mention of private hot tub or sauna in the unit description.,https://pitchyellowstone.com/
unmatched_row,77761442-2481-4901-a293-18ef22bf34a6,Haven Hills Campground & Resort,,unit_match,,"{""site_name"":null,""unit_type"":null}",medium,Large Pool with Spa indicates a shared facility.,https://www.havenhillscampground.com/
value_mismatch,7af99b0a-99f6-47d3-9616-2ed3129a3724,Outpost X,10881,unit_hot_tub_or_sauna,Yes,No,medium,"Common area amenities include a shared hot tub and sauna, but no mention of private amenities for Cave Unit.",https://outpost-x.com/
unmatched_row,7c6d48ab-f90d-4aca-9c4c-6301e65ea381,The Green O,,unit_match,,"{""site_name"":null,""unit_type"":null}",high,Each accommodation includes a private outdoor hot tub.,https://www.thegreeno.com/
unmatched_row,838cd515-c12c-4111-9d41-1e0d28fafa95,Dunton Hot Springs,,unit_match,,"{""site_name"":null,""unit_type"":null}",medium,"The property offers shared hot springs, but no specific mention of private hot tubs for all units.",https://www.duntondestinations.com/hot-springs
unmatched_row,85c5b687-4623-48de-bd91-3e08a3cb44b7,Monument Glamping,,unit_match,,"{""site_name"":null,""unit_type"":null}",high,"Each unit includes a private hot tub as stated: 'We provide hot tubs, cozy beds, and genuine privacy.'",https://monumentglamping.com/
unmatched_row,91308d0e-ed9f-48ee-b682-e34bb1734314,Triple G's Resort,,unit_match,,"{""site_name"":null,""unit_type"":null}",low,No mention of private or shared hot tubs or saunas in the provided text.,https://www.triplegsresort.com/
unmatched_row,a44736de-5cb1-4c20-bf04-5ec50893675c,Postcard Cabins Shenandoah North,,unit_match,,"{""site_name"":null,""unit_type"":null}",medium,No mention of private hot tubs or saunas in the cabin descriptions.,https://www.marriott.com/en-us/hotels/shdsn-postcard-cabins-shenandoah-north-outdoor-collection-bonvoy/overview/
value_mismatch,ad3562ec-9bde-4b73-9354-e2e4e7fd6b85,Zen Zion Glamping Domes,10884,unit_hot_tub_or_sauna,Yes,No,medium,No mention of a private hot tub for River Dome; shared hot tub available.,https://www.visitzenzion.com/
low_confidence,af550bcb-49a4-4de3-bfa7-b0be7ccbe24c,River Rock Point,10340,unit_hot_tub,,No,low,No mention of a private hot tub or sauna for the Summer Bubbles Dome.,https://www.riverrockpoint.com
low_confidence,af550bcb-49a4-4de3-bfa7-b0be7ccbe24c,River Rock Point,10341,unit_hot_tub,,No,low,No mention of a private hot tub or sauna for the Bubbles Dome.,https://www.riverrockpoint.com
low_confidence,af550bcb-49a4-4de3-bfa7-b0be7ccbe24c,River Rock Point,10341,unit_hot_tub_or_sauna,,No,low,No mention of a private hot tub or sauna for the Bubbles Dome.,https://www.riverrockpoint.com
value_mismatch,c978fb71-5949-48f3-8499-0c440cbb3af2,Safari for the Soul Luxury Glamping,10664,unit_hot_tub_or_sauna,No,Yes,high,"Each unit has a private hot tub: 'you are on over 6-acres at both properties in Spicewood and Marble Falls, TX. and will NEVER share your bathroom, hot tub, or fire pit with other couples.'",http://www.safariforthesoulglamping.com/
unmatched_row,cfadc6b0-905b-4d01-ac51-1e5f8efcd3c6,Bliss Camps Glamping (Rocky Mountain Glamping),,unit_match,,"{""site_name"":null,""unit_type"":null}",high,No mention of private hot tubs or saunas for any specific accommodation.,https://blisscamps.com/
unmatched_row,d732c43a-e231-4dfb-b535-65816db127e6,Ithaca by Firelight Camp,,unit_match,,"{""site_name"":null,""unit_type"":null}",medium,No mention of private hot tubs in tents; spa services are at La Tourelle Inn & Spa.,https://firelightcamps.com/
unmatched_row,e4bfdf06-b255-411b-be22-2450d12824f4,Key Largo Kampground,,unit_match,,"{""site_name"":null,""unit_type"":null}",low,No mention of private hot tubs or saunas for any specific accommodation.,https://keylargokampground.com/
unmatched_row,ebbbde2b-6412-4890-b36e-62ef68a55d4d,Yurts of the World,,unit_match,,"{""site_name"":null,""unit_type"":null}",low,No mention of private hot tubs or saunas in the yurts.,https://www.yurtsoftheworld.com/
low_confidence,ebbbde2b-6412-4890-b36e-62ef68a55d4d,Yurts of the World,11605,property_hot_tub,,No,low,No mention of a shared or communal hot tub on the property.,https://www.yurtsoftheworld.com/
unmatched_row,f8a24d87-aebc-4a05-83b4-5d7124519036,Blue Bear Mountain Camp,,unit_match,,"{""site_name"":null,""unit_type"":null}",low,No mention of hot tubs or saunas in the provided text.,https://www.bluebearmountain.com/
unmatched_row,f8f8501e-858a-4d89-946b-995afa5348ac,Catalina Island Camp,,unit_match,,"{""site_name"":null,""unit_type"":null}",low,No mention of hot tubs or saunas found on the website.,https://catalinaislandcamps.com/
value_mismatch,fe0f4c91-93f3-436d-800c-fceeb72da7dd,Moonbeam Bungalows,9996,unit_hot_tub_or_sauna,No,Yes,high,Each bungalow has their very own hot tubs.,https://moonbeambungalows.com/
value_mismatch,fe0f4c91-93f3-436d-800c-fceeb72da7dd,Moonbeam Bungalows,9997,unit_hot_tub_or_sauna,No,Yes,high,Each bungalow has their very own hot tubs.,https://moonbeambungalows.com/
unmatched_row,ff26f12f-f2fb-4486-a925-c2f9e3b00d43,Somerset Resort,,unit_match,,"{""site_name"":null,""unit_type"":null}",medium,No mention of private hot tubs or saunas for any unit type.,https://somersetresort.com/
